ind_code,ind,l_19,trained_19,va_curr_19,va_const_10,va_const_19,invest_curr_19,fdi_value,enterprise_18
A,"Nông nghiệp, lâm nghiệp và thủy sản",18831.4,4,842601,396576,510632,119719,3518.1,6844
B,Khai khoáng,197.9,54,405797,204544,210464,44027,4897.5,3495
C,"Công nghiệp chế biến, chế tạo",11287.6,17.7,995126,279360,712447,559708,214610.4,96715
D,"Sản xuất và phân phối điện, khí đốt, nước nóng, hơi nước và điều hòa không khí",192.8,76.4,291464,65721,163085,152285,23653.8,1490
E,"Cung cấp nước; hoạt động quản lý và xử lý rác thải, nước thải",163.2,37.5,31190,11107,22162,29986,2857.4,2347
F,Xây dựng,4615.2,14.1,358684,132618,244890,125881,10406,80484
G,"Bán buôn và bán lẻ; sửa chữa ô tô, mô tô, xe máy và xe có động cơ khác",7279.9,25.1,673861,172608,368742,155561,8154.9,234918
H,"Vận tải, kho bãi",1970.8,64.3,167682,62064,111683,198543,5091.7,35851
I,Dịch vụ lưu trú và ăn uống,2739.4,13.8,229449,77800,140199,51989,11990.2,22644
J,Thông tin và truyền thông,346.8,86.5,40881,19895,41045,22925,3875.4,12951
K,"Hoạt động tài chính, ngân hàng và bảo hiểm",482.6,86,321305,116515,219941,16579,823,3225
L,Hoạt động kinh doanh bất động sản,303.4,45.4,272294,131692,176904,139594,58439,15540
M,"Hoạt động chuyên môn, khoa học và công nghệ",310.5,80.2,74924,28004,51356,33159,3447.8,51892
N,Hoạt động hành chính và dịch vụ hỗ trợ,355.5,43.5,22387,7881,14756,14839,972.5,23405
O,"Hoạt động của Đảng Cộng sản, tổ chức chính trị - xã hội; quản lý Nhà nước, an ninh quốc phòng; đảm bảo xã hội bắt buộc",1465.1,85.9,165288,55194,98116,57516,,
P,Giáo dục và đào tạo,1986.3,91.2,230697,50237,94844,60791,4376.2,8845
Q,Y tế và hoạt động trợ giúp xã hội,612.3,92.2,167321,23335,44091,49943,1978.6,2247
R,"Nghệ thuật, vui chơi và giải trí",271.9,25.1,35291,14592,27577,30191,3388.4,3340
S,Hoạt động dịch vụ khác,1015.8,20.7,102454,34396,59055,183602,828.7,4404
T,"Hoạt động làm thuê các công việc trong các hộ gia đình, sản xuất sản phẩm vật chất và dịch vụ tự tiêu dùng của hộ gia đình",227.1,2.2,10023,2944,5368,,,
U,Hoạt động của các tổ chức và cơ quan quốc tế,3.7,86.5,,,,,,
